#Task Selector: 6
#PID Parameters: kp: 0.15, kd: 0.06, ki: 0.04
#n_pos: 5
#n_vel: 10
t x_ref y_ref vx_ref vy_ref x_raw y_raw x y vx_raw vy_raw vx vy
306058 80.00 0.00 0.00 0.00 74.26 -14.03 14.85 -2.81 897.60 -169.59 89.76 -16.96
322604 80.00 0.00 0.00 0.00 72.79 -10.32 29.41 -4.87 777.01 -110.17 167.46 -27.98
341341 80.00 0.00 0.00 0.00 72.82 -11.54 43.97 -7.18 857.43 -135.93 253.20 -41.57
358327 80.00 0.00 0.00 0.00 74.26 -14.03 58.83 -9.99 933.83 -176.44 346.59 -59.21
374231 80.00 0.00 0.00 0.00 72.82 -11.54 73.39 -12.29 933.25 -147.95 439.91 -74.01
389837 80.00 0.00 0.00 0.00 71.43 -10.30 72.83 -11.55 -36.24 47.86 436.29 -69.22
405442 80.00 0.00 0.00 0.00 75.61 -12.83 73.39 -12.05 35.70 -31.88 439.86 -72.41
421204 80.00 0.00 0.00 0.00 71.46 -11.52 73.12 -12.04 -15.99 0.33 438.26 -72.38
438258 80.00 0.00 0.00 0.00 68.78 -12.68 72.02 -11.77 -70.55 17.41 431.20 -70.64
453778 80.00 0.00 0.00 0.00 70.08 -10.27 71.47 -11.52 -32.56 15.11 427.95 -69.13
470637 80.00 0.00 0.00 0.00 68.69 -7.82 70.92 -11.02 -32.46 29.31 334.94 -49.24
487541 80.00 0.00 0.00 0.00 68.76 -11.46 69.55 -10.75 -90.26 18.07 248.21 -36.41
502724 80.00 0.00 0.00 0.00 67.39 -10.22 68.74 -10.49 -44.91 14.29 157.98 -21.39
520828 80.00 0.00 0.00 0.00 64.70 -7.76 67.92 -9.51 -49.51 59.61 59.65 2.22
537322 80.00 0.00 0.00 0.00 64.70 -7.76 66.85 -9.01 -64.80 30.22 -40.16 20.03
553916 80.00 0.00 0.00 0.00 64.70 -7.76 66.05 -8.99 -45.68 0.64 -41.10 15.31
571371 80.00 0.00 0.00 0.00 62.19 -13.75 64.74 -9.45 -80.05 -27.91 -52.68 15.71
587774 80.00 0.00 0.00 0.00 62.19 -13.75 63.70 -10.16 -71.76 -48.67 -58.26 10.81
602272 80.00 0.00 0.00 0.00 62.19 -13.75 63.19 -11.36 -30.97 -73.89 -54.30 1.68
1135267 80.00 0.00 0.00 0.00 77.07 -15.34 65.67 -12.87 151.58 -92.80 -35.88 -9.11
1151593 80.00 0.00 0.00 0.00 79.81 -12.94 68.69 -13.91 159.74 -54.67 -16.66 -17.51
1170517 80.00 0.00 0.00 0.00 79.81 -12.94 72.22 -13.74 209.01 9.66 13.27 -18.35
1187381 80.00 0.00 0.00 0.00 79.93 -16.66 75.77 -14.33 228.59 -37.52 40.62 -23.53
1202906 80.00 0.00 0.00 0.00 78.34 -10.43 79.00 -13.66 193.21 39.72 64.89 -25.52
1219622 80.00 0.00 0.00 0.00 78.34 -10.43 79.25 -12.68 15.64 60.62 72.93 -22.48
1235810 80.00 0.00 0.00 0.00 76.80 -0.59 78.65 -10.21 -27.90 114.36 74.71 -11.11
1257402 80.00 0.00 0.00 0.00 70.03 -7.84 76.69 -9.19 -110.37 57.52 71.68 -2.57
1275129 80.00 0.00 0.00 0.00 72.88 -14.00 75.28 -8.66 -74.70 28.26 71.38 5.13
1294006 80.00 0.00 0.00 0.00 72.77 -9.10 74.17 -8.39 -71.43 17.08 67.34 14.22
1309601 80.00 0.00 0.00 0.00 74.17 -10.35 73.33 -8.37 -58.82 1.17 46.30 23.62
1323790 80.00 0.00 0.00 0.00 71.32 -3.00 72.24 -8.86 -68.41 -30.04 23.48 26.08
