#Task Selector: 5
#PID Parameters: kp: 0.06, kd: 0.03, ki: 0.04
#n_pos: 5
#n_vel: 10
t x_ref y_ref vx_ref vy_ref x_raw y_raw x y vx_raw vy_raw vx vy
110113 0.00 0.00 0.00 0.00 -0.16 -1.58 -0.03 -0.32 -1.95 -19.32 -0.19 -1.93
126494 0.00 0.00 0.00 0.00 -4.77 -6.19 -0.99 -1.55 -47.09 -61.17 -4.90 -8.05
146735 0.00 0.00 0.00 0.00 -5.91 -0.43 -2.17 -1.64 -77.38 -5.68 -12.64 -8.62
162017 0.00 0.00 0.00 0.00 -4.76 -1.58 -3.12 -1.96 -57.93 -19.27 -18.44 -10.54
178456 0.00 0.00 0.00 0.00 -4.76 -0.43 -4.07 -2.05 -58.64 -5.34 -24.30 -11.08
194695 0.00 0.00 0.00 0.00 -4.76 -1.58 -4.99 -2.05 -58.07 -0.02 -30.11 -11.08
210546 0.00 0.00 0.00 0.00 -4.76 -0.43 -4.99 -0.89 0.06 72.50 -30.10 -3.83
226426 0.00 0.00 0.00 0.00 -4.76 -1.58 -4.76 -1.12 13.69 -13.67 -28.73 -5.20
243246 0.00 0.00 0.00 0.00 -4.76 -1.58 -4.76 -1.12 0.00 0.00 -28.73 -5.20
260389 0.00 0.00 0.00 0.00 -5.91 -1.58 -4.99 -1.35 -14.63 -14.61 -30.19 -6.66
276146 0.00 0.00 0.00 0.00 -5.91 -0.43 -5.22 -1.12 -14.95 14.93 -31.49 -3.23
291546 0.00 0.00 0.00 0.00 -7.07 -1.59 -5.68 -1.35 -27.71 -13.85 -29.56 1.50
308180 0.00 0.00 0.00 0.00 -5.91 -1.58 -5.91 -1.35 -13.23 -0.01 -23.14 2.07
325598 0.00 0.00 0.00 0.00 -7.07 -1.59 -6.37 -1.36 -30.34 -0.02 -20.38 3.99
340787 0.00 0.00 0.00 0.00 -4.76 -1.58 -6.14 -1.36 14.06 0.01 -13.11 4.53
357167 0.00 0.00 0.00 0.00 -5.91 -0.43 -6.14 -1.36 0.00 0.00 -7.30 4.53
374250 0.00 0.00 0.00 0.00 -5.91 -2.74 -5.91 -1.59 14.54 -14.52 -5.86 -4.17
