#Task Selector: 6
#PID Parameters: kp: 0.15, kd: 0.06, ki: 0.04
#n_pos: 5
#n_vel: 10
t x_ref y_ref vx_ref vy_ref x_raw y_raw x y vx_raw vy_raw vx vy
0 80.00 -0.00 94.25 0.00 1.24 0.96 0.25 0.19 0.00 0.00 0.00 0.00
0 79.97 -2.30 93.63 2.69 3.54 2.12 0.95 0.62 38.69 23.13 3.87 2.31
18293 79.89 -4.24 93.06 4.94 1.24 0.96 1.20 0.81 15.96 12.43 5.47 3.56
33772 79.75 -6.36 92.36 7.36 4.69 0.96 2.14 1.00 55.59 11.44 11.02 4.70
50643 79.59 -8.11 91.74 9.35 1.24 2.11 2.39 1.42 17.62 30.13 12.79 7.71
64676 79.35 -10.20 90.94 11.69 2.39 0.96 2.62 1.42 13.79 0.01 14.16 7.71
81385 79.05 -12.27 90.09 13.98 4.69 0.96 2.85 1.19 13.83 -13.84 15.55 6.33
98010 78.67 -14.53 89.09 16.45 5.84 -0.19 3.77 0.96 50.42 -12.58 20.59 5.07
116272 78.22 -16.80 88.01 18.90 6.99 0.97 4.23 0.96 24.98 0.01 23.09 5.07
134691 77.77 -18.77 87.01 21.00 12.74 0.96 6.53 0.73 143.03 -14.29 37.39 3.64
150779 77.35 -20.42 86.14 22.73 18.51 -0.20 9.75 0.50 238.86 -17.18 61.28 1.92
164276 76.88 -22.11 85.19 24.50 23.14 -1.36 13.44 0.04 263.26 -33.22 83.73 -3.71
178292 76.24 -24.23 83.96 26.68 26.62 -0.22 17.60 0.03 236.65 -0.37 105.80 -4.99
195855 75.63 -26.09 82.82 28.57 30.13 -1.39 22.23 -0.44 296.29 -30.18 129.87 -9.15
211473 74.88 -28.17 81.48 30.65 34.83 -1.42 26.64 -0.92 251.39 -27.09 153.25 -14.87
229043 74.18 -29.96 80.27 32.42 39.57 -1.45 30.86 -1.17 274.33 -16.28 179.30 -16.50
244397 73.32 -31.99 78.84 34.40 41.96 -2.63 34.62 -1.42 214.94 -14.48 199.41 -16.57
261915 72.54 -33.74 77.56 36.07 46.78 -2.67 38.65 -1.91 264.69 -32.24 220.84 -18.53
277151 71.69 -35.49 76.22 37.74 52.91 -3.92 43.21 -2.42 293.94 -32.60 247.74 -21.79
292655 70.80 -37.26 74.83 39.38 55.39 -3.95 47.32 -2.92 261.44 -32.20 259.58 -23.58
308388 69.78 -39.12 73.29 41.09 57.89 -3.98 50.99 -3.43 216.66 -29.98 257.36 -24.86
325303 68.74 -40.92 71.76 42.71 63.00 -6.45 55.20 -4.19 254.70 -46.21 256.50 -26.16
341818 67.64 -42.72 70.16 44.31 66.89 -7.72 59.22 -5.20 239.64 -60.19 256.80 -32.14
358596 66.60 -44.32 68.68 45.71 69.56 -10.20 62.55 -6.46 218.58 -82.51 249.03 -37.38
373829 65.44 -46.02 67.06 47.17 76.20 -9.15 66.71 -7.50 254.06 -63.55 249.30 -41.02
390206 64.30 -47.60 65.50 48.49 77.55 -9.19 70.64 -8.54 253.67 -67.17 247.23 -46.11
405708 62.97 -49.35 63.72 49.94 79.00 -11.69 73.84 -9.59 183.05 -59.93 244.04 -50.66
423191 61.72 -50.90 62.08 51.19 81.68 -9.30 76.80 -9.91 187.36 -19.96 236.31 -49.43
438980 60.43 -52.43 60.39 52.40 85.89 -9.42 80.06 -9.75 204.46 9.81 227.36 -45.19
454954 59.10 -53.91 58.70 53.55 85.89 -9.42 82.00 -9.80 122.46 -3.36 213.46 -42.30
470790 57.68 -55.44 56.91 54.70 85.89 -9.42 83.67 -9.85 100.59 -2.79 201.86 -39.58
487369 56.19 -56.95 55.07 55.81 92.21 -21.00 86.31 -11.71 156.10 -110.06 192.00 -45.97
504293 54.73 -58.35 53.29 56.82 92.21 -21.00 88.42 -14.05 130.72 -145.29 181.11 -54.48
520400 53.27 -59.69 51.54 57.75 95.45 -25.04 90.33 -17.18 121.43 -198.54 171.39 -66.08
536135 51.77 -60.99 49.76 58.64 98.49 -25.23 92.85 -20.34 158.88 -199.37 161.87 -79.67
551994 50.13 -62.35 47.86 59.52 93.77 -22.36 94.42 -22.93 93.36 -153.39 145.84 -88.29
568873 48.44 -63.67 45.92 60.36 93.86 -23.65 94.75 -23.46 19.31 -31.10 129.47 -85.40
585943 46.95 -64.78 44.23 61.03 94.03 -26.25 95.12 -24.51 24.72 -70.95 113.20 -90.50
600733 45.02 -66.13 42.09 61.82 101.91 -29.39 96.41 -25.38 69.10 -46.53 99.67 -96.14
619452 43.41 -67.20 40.31 62.41 102.03 -30.73 97.12 -26.48 45.80 -71.16 92.00 -102.92
634908 41.42 -68.44 38.16 63.07 97.60 -33.04 97.89 -28.61 41.06 -114.44 86.05 -114.08
653560 39.45 -69.60 36.07 63.63 94.55 -32.81 98.03 -30.44 7.68 -100.91 71.21 -113.17
671697 37.82 -70.49 34.36 64.04 91.45 -31.27 97.51 -31.45 -34.96 -67.93 54.64 -105.43
686489 36.34 -71.27 32.83 64.38 88.82 -35.00 94.89 -32.57 -196.87 -84.30 22.81 -94.01
699789 34.69 -72.09 31.14 64.70 87.15 -32.27 91.91 -32.88 -202.97 -21.07 -13.38 -76.18
714449 32.74 -72.99 29.17 65.02 87.58 -37.53 89.91 -33.78 -117.22 -52.61 -34.44 -66.10
731543 30.87 -73.80 27.31 65.27 81.72 -35.79 87.34 -34.37 -158.12 -36.75 -52.18 -66.66
