#Task Selector: 6
#PID Parameters: kp: 0.15, kd: 0.05, ki: 0.06
#n_pos: 5
#n_vel: 10
t x_ref y_ref vx_ref vy_ref x_raw y_raw x y vx_raw vy_raw vx vy
860473 80.00 0.00 0.00 0.00 -8.23 -6.20 -1.65 -1.24 -102.90 -77.51 -10.29 -7.75
876461 80.00 0.00 0.00 0.00 -10.54 -6.20 -3.75 -2.48 -109.07 -64.19 -21.20 -14.17
895783 80.00 0.00 0.00 0.00 -8.23 -6.20 -5.40 -3.72 -101.95 -76.79 -31.39 -21.85
911920 80.00 0.00 0.00 0.00 -8.22 -5.04 -7.04 -4.73 -100.92 -61.89 -41.48 -28.04
928217 80.00 0.00 0.00 0.00 -9.38 -3.89 -8.92 -5.51 -116.96 -48.55 -53.18 -32.89
944251 80.00 0.00 0.00 0.00 -9.38 -5.04 -9.15 -5.28 -14.00 13.98 -54.58 -31.49
960722 80.00 0.00 0.00 0.00 -9.38 -3.89 -8.92 -4.81 14.78 29.40 -53.10 -28.55
976427 80.00 0.00 0.00 0.00 -9.38 -3.89 -9.15 -4.35 -13.68 27.39 -54.47 -25.81
993249 80.00 0.00 0.00 0.00 -11.69 -3.90 -9.84 -4.12 -43.19 14.30 -58.79 -24.38
1009295 80.00 0.00 0.00 0.00 -10.53 -2.74 -10.07 -3.89 -13.88 13.85 -60.18 -23.00
1025918 80.00 0.00 0.00 0.00 -9.38 -3.89 -10.07 -3.66 0.02 14.31 -49.89 -13.82
1042032 80.00 0.00 0.00 0.00 -11.69 -3.90 -10.53 -3.66 -28.73 -0.05 -41.85 -7.40
1058131 80.00 0.00 0.00 0.00 -10.53 -3.89 -10.76 -3.66 -14.43 -0.02 -33.10 0.27
1074148 80.00 0.00 0.00 0.00 -10.53 -3.89 -10.53 -3.66 12.88 0.02 -21.72 6.46
1092106 80.00 0.00 0.00 0.00 -9.38 -2.74 -10.30 -3.66 13.82 0.02 -8.64 11.32
1108826 80.00 0.00 0.00 0.00 -9.38 -2.74 -10.30 -3.43 0.02 14.68 -7.24 11.39
1124522 80.00 0.00 0.00 0.00 -9.38 -3.89 -9.84 -3.43 29.65 0.05 -5.75 8.45
1140120 80.00 0.00 0.00 0.00 -9.38 -3.89 -9.61 -3.43 14.41 0.02 -2.94 5.72
1156159 80.00 0.00 0.00 0.00 -9.38 -5.04 -9.38 -3.66 14.28 -14.24 2.80 2.86
1172320 80.00 0.00 0.00 0.00 -7.07 -3.89 -8.92 -3.89 27.37 -13.63 6.93 0.12
1189178 80.00 0.00 0.00 0.00 -9.38 -5.04 -8.92 -4.35 -0.04 -26.69 6.92 -3.98
1206455 80.00 0.00 0.00 0.00 -8.22 -5.04 -8.69 -4.58 14.90 -14.87 11.29 -5.47
1221934 80.00 0.00 0.00 0.00 -7.07 -3.89 -8.22 -4.58 27.68 0.04 15.50 -5.46
1238611 80.00 0.00 0.00 0.00 -8.22 -3.89 -7.99 -4.35 14.08 14.05 15.62 -4.06
1255042 80.00 0.00 0.00 0.00 -8.22 -3.89 -8.22 -4.35 -14.89 -0.02 12.74 -4.06
1270535 80.00 0.00 0.00 0.00 -7.07 -3.89 -7.76 -4.12 28.41 14.21 15.58 -4.11
1286801 80.00 0.00 0.00 0.00 -8.22 -3.89 -7.76 -3.89 0.02 14.87 12.62 -2.63
1302303 80.00 0.00 0.00 0.00 -9.38 -3.89 -8.22 -3.89 -27.90 -0.04 8.39 -2.63
1318852 80.00 0.00 0.00 0.00 -9.38 -2.74 -8.45 -3.66 -13.89 13.86 5.57 0.18
1335456 80.00 0.00 0.00 0.00 -8.22 -3.89 -8.45 -3.66 0.00 0.00 2.84 1.54
