#Task Selector: 6
#PID Parameters: kp: 0.15, kd: 0.06, ki: 0.04
#n_pos: 5
#n_vel: 10
t x_ref y_ref vx_ref vy_ref x_raw y_raw x y vx_raw vy_raw vx vy
0 80.00 -0.00 94.25 0.00 84.29 -1.97 16.86 -0.39 0.00 0.00 0.00 0.00
0 79.97 -2.04 93.71 2.39 84.27 -0.74 33.71 -0.54 1036.73 -9.06 103.67 -0.91
16256 79.90 -4.08 93.11 4.76 84.29 -1.97 50.57 -0.93 1037.83 -24.22 207.46 -3.33
32499 79.72 -6.67 92.26 7.71 84.29 -1.97 67.43 -1.33 818.24 -19.09 289.28 -5.24
53101 79.51 -8.82 91.48 10.14 84.29 -1.97 84.28 -1.72 979.86 -22.86 387.27 -7.52
70305 79.29 -10.67 90.75 12.21 80.17 -4.35 83.46 -2.20 -55.49 -32.07 381.72 -10.73
85157 78.97 -12.78 89.87 14.54 82.94 -4.40 83.19 -2.93 -15.65 -43.24 380.15 -15.05
102117 78.65 -14.61 89.05 16.54 81.52 -3.15 82.64 -3.17 -37.36 -15.96 376.41 -16.65
116922 78.28 -16.49 88.16 18.57 77.43 -4.30 81.27 -3.63 -89.78 -30.50 367.44 -19.70
132196 77.87 -18.34 87.23 20.55 77.37 -0.64 79.88 -3.37 -91.91 17.60 358.25 -17.94
147257 77.34 -20.46 86.11 22.78 74.67 -0.61 78.79 -2.62 -63.14 42.97 351.93 -13.64
164669 76.81 -22.36 85.05 24.75 73.30 1.83 76.86 -1.37 -123.28 79.72 235.93 -4.76
180298 76.25 -24.20 83.97 26.65 74.61 7.86 75.48 0.83 -90.14 143.53 123.13 12.01
195636 75.64 -26.06 82.83 28.54 75.95 9.07 75.18 3.50 -18.94 171.30 39.42 31.05
211242 74.98 -27.90 81.66 30.38 77.30 9.07 75.17 5.44 -0.80 125.25 -58.65 45.86
226753 74.21 -29.89 80.32 32.35 80.05 12.73 76.24 8.11 63.18 156.58 -46.78 64.73
243792 73.44 -31.73 79.03 34.15 87.09 16.49 79.00 11.05 173.65 184.73 -27.85 87.52
259668 72.50 -33.82 77.50 36.15 82.93 20.12 80.67 13.50 91.59 134.88 -14.96 102.61
277843 71.69 -35.51 76.21 37.75 91.46 19.05 83.77 15.49 207.79 133.66 14.80 119.02
292771 70.88 -37.10 74.96 39.23 97.37 17.91 87.78 17.26 282.48 124.38 52.24 129.70
306976 69.86 -38.98 73.41 40.97 103.62 21.85 92.49 19.08 276.39 106.96 86.19 136.10
324031 68.87 -40.71 71.94 42.53 103.62 21.85 95.80 20.16 208.78 67.73 119.40 134.90
339868 67.80 -42.47 70.39 44.09 103.62 21.85 99.94 20.50 252.69 21.21 153.68 122.67
597285 45.62 -65.72 42.75 61.58 149.69 -103.25 111.58 -3.96 709.01 -1489.21 226.48 -43.38
613709 43.78 -66.96 40.73 62.28 161.26 -120.26 124.36 -31.59 725.24 -1568.31 299.08 -212.74
631329 42.17 -67.98 38.97 62.83 167.15 -133.83 137.07 -62.73 835.03 -2046.30 376.27 -433.03
646545 40.37 -69.07 37.05 63.38 174.95 -136.91 151.33 -94.48 854.52 -1902.10 444.35 -641.71
663239 38.63 -70.05 35.21 63.85 174.95 -136.91 165.60 -126.23 897.14 -1996.96 524.91 -854.90
679140 36.83 -71.02 33.33 64.27 174.95 -136.91 170.65 -132.97 309.82 -412.92 535.11 -909.55
1653173 -69.47 -39.68 -36.29 20.73 13.93 -16.45 141.18 -112.20 -1791.26 1262.15 327.74 -795.78
1669623 -70.47 -37.86 -36.36 19.54 18.56 -14.13 111.47 -88.26 -1799.80 1449.89 120.12 -661.48
1686135 -71.43 -36.03 -36.39 18.36 12.77 -16.45 79.03 -64.17 -1973.30 1465.82 -98.09 -521.67
1702572 -72.34 -34.16 -36.39 17.18 12.77 -14.10 46.59 -39.61 -1959.07 1483.50 -319.27 -375.45
1719129 -73.17 -32.34 -36.35 16.06 15.09 -16.45 14.62 -15.52 -2002.48 1508.96 -590.42 -75.63
1735095 -74.15 -30.04 -36.25 14.69 10.45 -14.10 13.93 -15.05 -34.98 23.65 -666.44 83.57
1754978 -74.72 -28.58 -36.17 13.83 8.14 -14.10 11.84 -15.04 -167.16 0.46 -766.66 288.24
1767442 -75.46 -26.58 -36.02 12.69 10.45 -14.10 11.38 -14.57 -27.35 27.68 -854.85 481.22
1784400 -76.11 -24.64 -35.85 11.61 5.83 -14.10 9.99 -14.57 -85.24 0.06 -953.08 680.92
1800676 -76.72 -22.69 -35.64 10.54 8.14 -14.10 8.60 -14.10 -85.43 28.97 -992.61 725.11
1816944 -77.41 -20.20 -35.34 9.22 6.98 -16.44 7.91 -14.57 -33.72 -22.76 -816.86 596.62
1837520 -77.85 -18.44 -35.10 8.31 6.99 -11.76 7.68 -14.10 -16.01 32.35 -638.48 454.87
1851948 -78.23 -16.74 -34.84 7.46 5.83 -10.60 6.75 -13.40 -66.78 50.57 -447.82 313.34
1865787 -78.68 -14.47 -34.48 6.34 5.83 -12.93 6.75 -13.17 0.01 12.70 -251.91 166.26
1884187 -79.10 -11.99 -34.04 5.16 4.67 -12.93 6.06 -12.93 -34.59 11.63 -55.12 16.53
1904229 -79.40 -9.74 -33.61 4.12 3.52 -10.60 5.37 -11.77 -38.38 64.75 -55.47 20.64
1922259 -79.63 -7.68 -33.19 3.20 1.22 -9.45 4.21 -11.30 -69.88 28.07 -45.74 23.40
1938774 -79.79 -5.74 -32.77 2.36 5.83 -8.28 4.22 -10.84 0.03 30.01 -43.00 23.63
1954261 -79.91 -3.72 -32.31 1.50 6.99 -8.28 4.45 -9.91 14.36 57.75 -33.04 29.40
1970382 -79.98 -1.97 -31.90 0.79 5.83 -9.44 4.68 -9.21 16.66 50.24 -22.83 31.53
1984292 -80.00 0.04 -31.40 -0.02 9.29 -10.60 5.83 -9.21 71.87 0.05 -12.27 33.81
2000353 -79.98 1.92 -30.93 -0.74 6.99 -8.28 6.99 -8.97 77.22 15.65 -2.95 32.14
