#Task Selector: 5
#PID Parameters: kp: 0.05, kd: 0.05, ki: 0.05
#n_pos: 5
#n_vel: 10
t x_ref y_ref vx_ref vy_ref x_raw y_raw x y vx_raw vy_raw vx vy
160659 0.00 0.00 0.00 0.00 5.59 -3.88 1.12 -0.78 68.27 -47.43 6.83 -4.74
177036 0.00 0.00 0.00 0.00 5.59 -3.88 2.24 -1.55 57.41 -39.89 12.57 -8.73
196510 0.00 0.00 0.00 0.00 5.59 -3.88 3.35 -2.33 71.92 -49.97 19.76 -13.73
212055 0.00 0.00 0.00 0.00 4.44 -2.73 4.24 -2.88 43.53 -26.80 24.11 -16.41
232451 0.00 0.00 0.00 0.00 3.29 -1.58 4.90 -3.19 39.08 -18.80 28.02 -18.29
249287 0.00 0.00 0.00 0.00 3.29 -2.73 4.44 -2.96 -32.23 16.13 24.80 -16.68
263563 0.00 0.00 0.00 0.00 2.14 -3.88 3.75 -2.96 -50.47 0.01 19.75 -16.67
277235 0.00 0.00 0.00 0.00 2.14 -3.88 3.06 -2.96 -41.48 0.01 15.60 -16.67
293870 0.00 0.00 0.00 0.00 0.99 -3.88 2.37 -3.19 -42.57 -14.20 11.35 -18.09
310076 0.00 0.00 0.00 0.00 2.14 -3.88 2.14 -3.65 -13.90 -27.82 9.95 -20.88
326616 0.00 0.00 0.00 0.00 0.99 -5.03 1.68 -4.11 -28.91 -28.93 0.24 -19.03
342527 0.00 0.00 0.00 0.00 -0.16 -5.03 1.22 -4.34 -27.39 -13.71 -8.24 -16.41
359322 0.00 0.00 0.00 0.00 0.99 -5.03 0.99 -4.57 -14.03 -14.04 -16.84 -12.81
375716 0.00 0.00 0.00 0.00 0.99 -5.03 0.99 -4.80 -0.00 -14.72 -21.19 -11.61
391352 0.00 0.00 0.00 0.00 -0.16 -5.03 0.53 -5.03 -27.99 -14.01 -27.90 -11.13
407792 0.00 0.00 0.00 0.00 -1.31 -5.04 0.07 -5.03 -28.89 -0.01 -27.56 -12.74
423718 0.00 0.00 0.00 0.00 -0.16 -3.88 0.07 -4.80 0.00 14.31 -22.52 -11.31
439807 0.00 0.00 0.00 0.00 -1.31 -5.04 -0.39 -4.80 -26.41 -0.01 -21.01 -11.31
457233 0.00 0.00 0.00 0.00 -1.31 -3.88 -0.85 -4.57 -28.34 14.18 -19.59 -8.48
473465 0.00 0.00 0.00 0.00 -0.16 -5.03 -0.85 -4.57 0.00 -0.00 -18.20 -5.70
489265 0.00 0.00 0.00 0.00 -2.46 -3.88 -1.08 -4.34 -13.85 13.86 -16.69 -1.42
505873 0.00 0.00 0.00 0.00 -0.16 -2.73 -1.08 -4.11 0.00 14.60 -13.95 1.41
521638 0.00 0.00 0.00 0.00 -2.46 -3.88 -1.31 -3.88 -13.60 13.60 -13.91 4.18
538554 0.00 0.00 0.00 0.00 -3.61 -2.73 -1.77 -3.65 -30.62 15.30 -16.97 7.18
553582 0.00 0.00 0.00 0.00 -1.31 -2.73 -2.00 -3.19 -14.31 28.66 -15.60 11.45
569641 0.00 0.00 0.00 0.00 -2.46 -2.73 -2.00 -2.96 0.01 13.36 -12.71 12.79
586873 0.00 0.00 0.00 0.00 -2.46 -2.73 -2.46 -2.96 -27.79 -0.01 -15.49 11.35
603431 0.00 0.00 0.00 0.00 -3.61 -1.58 -2.69 -2.50 -14.78 29.58 -14.33 14.31
618988 0.00 0.00 0.00 0.00 -2.46 -2.73 -2.46 -2.50 11.63 0.01 -10.33 12.90
638777 0.00 0.00 0.00 0.00 -3.61 -2.73 -2.92 -2.50 -27.08 -0.01 -13.04 12.89
655775 0.00 0.00 0.00 0.00 -2.46 -2.73 -2.92 -2.50 0.00 0.00 -11.65 11.51
672736 0.00 0.00 0.00 0.00 -4.76 -2.74 -3.38 -2.50 -30.11 -0.02 -14.66 10.05
688025 0.00 0.00 0.00 0.00 -2.46 -2.73 -3.15 -2.73 15.86 -15.86 -11.72 7.10
702529 0.00 0.00 0.00 0.00 -4.76 -1.58 -3.61 -2.50 -28.97 14.47 -11.55 7.02
718415 0.00 0.00 0.00 0.00 -2.46 -2.73 -3.38 -2.50 13.34 0.01 -8.79 4.15
735668 0.00 0.00 0.00 0.00 -4.76 -1.58 -3.84 -2.27 -29.80 14.88 -11.77 4.30
751112 0.00 0.00 0.00 0.00 -2.46 -1.58 -3.38 -2.04 24.24 12.13 -6.57 5.52
770109 0.00 0.00 0.00 0.00 -2.46 -2.73 -3.38 -2.04 0.00 0.00 -5.09 2.56
785208 0.00 0.00 0.00 0.00 -2.46 -1.58 -2.92 -2.04 27.94 0.01 -3.46 2.56
801683 0.00 0.00 0.00 0.00 -2.46 -2.73 -2.92 -2.04 0.00 0.00 -0.75 2.56
817292 0.00 0.00 0.00 0.00 -1.31 -2.73 -2.23 -2.27 46.08 -15.34 3.86 1.03
832275 0.00 0.00 0.00 0.00 -1.31 -1.58 -2.00 -2.27 17.22 0.01 8.59 1.03
845636 0.00 0.00 0.00 0.00 -1.31 -1.58 -1.77 -2.04 13.84 13.84 8.39 4.00
862266 0.00 0.00 0.00 0.00 -2.46 -1.58 -1.77 -2.04 0.00 0.00 11.29 2.55
879044 0.00 0.00 0.00 0.00 -1.31 -2.73 -1.54 -2.04 14.21 0.01 11.37 2.55
895230 0.00 0.00 0.00 0.00 -1.31 -2.73 -1.54 -2.04 0.00 0.00 14.35 1.07
911702 0.00 0.00 0.00 0.00 -2.46 -1.58 -1.77 -2.04 -14.96 -0.00 10.43 -0.15
927076 0.00 0.00 0.00 0.00 -1.31 -2.73 -1.77 -2.27 -0.00 -14.50 10.43 -1.60
942939 0.00 0.00 0.00 0.00 -1.31 -5.04 -1.54 -2.96 13.81 -41.50 9.02 -5.75
959577 0.00 0.00 0.00 0.00 -1.31 -5.04 -1.54 -3.42 -0.01 -29.38 9.02 -8.69
975247 0.00 0.00 0.00 0.00 -2.46 -5.04 -1.77 -3.88 -13.14 -26.27 3.10 -9.78
992778 0.00 0.00 0.00 0.00 -0.16 -6.19 -1.31 -4.81 29.54 -59.16 4.33 -15.70
1008340 0.00 0.00 0.00 0.00 -3.61 -5.04 -1.77 -5.27 -28.88 -28.89 0.06 -19.97
1024286 0.00 0.00 0.00 0.00 -0.16 -6.19 -1.54 -5.50 13.69 -13.70 1.43 -21.34
1041091 0.00 0.00 0.00 0.00 -1.31 -6.19 -1.54 -5.73 -0.01 -15.18 0.00 -22.86
1056265 0.00 0.00 0.00 0.00 -1.31 -6.19 -1.31 -5.96 13.13 -13.14 1.32 -24.17
1073781 0.00 0.00 0.00 0.00 -1.31 -7.34 -1.54 -6.19 -14.41 -14.43 1.37 -25.62
1089762 0.00 0.00 0.00 0.00 -0.16 -9.65 -0.85 -7.11 41.40 -55.31 5.51 -29.70
