#Task Selector: 4
#PID Parameters: kp: 0.03, kd: 0.00, ki: 0.00
#n_pos: 10
#n_vel: 10
t x_ref y_ref vx_ref vy_ref x_raw y_raw x y vx_raw vy_raw vx vy
0 0.00 0.00 0.00 0.00 -1.31 0.57 -0.13 0.06 0.00 0.00 0.00 0.00
0 0.00 0.00 0.00 0.00 -1.31 0.57 -0.26 0.11 -7.29 3.16 -0.00 0.00
17967 0.00 0.00 0.00 0.00 -2.46 0.57 -0.51 0.17 -14.95 3.44 -0.00 0.00
34424 0.00 0.00 0.00 0.00 -2.46 1.72 -0.75 0.34 -15.82 11.05 -0.00 0.00
49967 0.00 0.00 0.00 0.00 -2.46 0.57 -1.00 0.40 -15.20 3.50 -0.00 0.00
66151 0.00 0.00 0.00 0.00 -2.46 -0.58 -1.25 0.34 -14.25 -3.38 -0.01 0.00
83412 0.00 0.00 0.00 0.00 -2.46 0.57 -1.49 0.40 -13.16 3.03 -0.01 0.00
102101 0.00 0.00 0.00 0.00 -2.46 0.57 -1.74 0.45 -14.11 3.25 -0.02 0.01
119536 0.00 0.00 0.00 0.00 -2.46 0.57 -1.98 0.51 -15.48 3.57 -0.03 0.01
135422 0.00 0.00 0.00 0.00 -2.46 0.57 -2.23 0.57 -17.80 4.10 -0.03 0.01
149242 0.00 0.00 0.00 0.00 -3.61 0.57 -2.46 0.57 -14.97 -0.00 -0.04 0.01
164608 0.00 0.00 0.00 0.00 -2.46 1.72 -2.57 0.68 -6.92 6.92 -0.05 0.01
181214 0.00 0.00 0.00 0.00 -2.46 0.57 -2.57 0.68 0.00 0.00 -0.06 0.02
196676 0.00 0.00 0.00 0.00 -2.46 0.57 -2.57 0.57 -0.00 -7.03 -0.07 0.02
213037 0.00 0.00 0.00 0.00 -2.46 1.72 -2.57 0.68 0.00 7.05 -0.08 0.02
229339 0.00 0.00 0.00 0.00 -2.46 -0.58 -2.57 0.68 0.00 0.00 -0.09 0.02
245252 0.00 0.00 0.00 0.00 -2.46 1.72 -2.57 0.80 0.00 6.67 -0.10 0.03
262489 0.00 0.00 0.00 0.00 -1.31 -0.58 -2.46 0.68 7.10 -7.10 -0.11 0.03
278691 0.00 0.00 0.00 0.00 -2.46 0.57 -2.46 0.68 0.00 0.00 -0.12 0.03
293369 0.00 0.00 0.00 0.00 -3.61 -0.58 -2.57 0.57 -7.18 -7.18 -0.13 0.03
