#Task Selector: 6
#PID Parameters: kp: 0.08, kd: 0.02, ki: 0.04
#n_pos: 5
#n_vel: 10
t x_ref y_ref vx_ref vy_ref x_raw y_raw x y vx_raw vy_raw vx vy
519086 0.00 0.00 0.00 0.00 -1.33 -21.27 -0.27 -4.25 -16.32 -261.09 -1.63 -26.11
535380 0.00 0.00 0.00 0.00 -2.49 -21.27 -0.76 -8.51 -26.62 -227.68 -4.29 -48.88
554067 0.00 0.00 0.00 0.00 0.99 -17.76 -0.57 -12.06 11.17 -201.22 -3.18 -69.00
571723 0.00 0.00 0.00 0.00 2.14 -17.76 -0.14 -15.61 26.11 -216.71 -0.57 -90.67
588117 0.00 0.00 0.00 0.00 2.14 -17.76 0.29 -19.17 24.46 -203.02 1.88 -110.97
605616 0.00 0.00 0.00 0.00 3.29 -16.60 1.21 -18.23 59.16 59.76 7.80 -104.99
621249 0.00 0.00 0.00 0.00 -0.17 -16.60 1.68 -17.30 31.78 64.03 10.97 -98.59
635844 0.00 0.00 0.00 0.00 -0.17 -17.76 1.45 -17.30 -13.99 -0.01 9.57 -98.59
652353 0.00 0.00 0.00 0.00 -0.17 -17.76 0.99 -17.30 -28.83 -0.01 6.69 -98.59
668372 0.00 0.00 0.00 0.00 -0.17 -16.60 0.52 -17.07 -30.17 15.20 3.67 -97.07
683674 0.00 0.00 0.00 0.00 -1.32 -15.44 -0.40 -16.83 -58.02 14.59 -0.50 -69.51
699582 0.00 0.00 0.00 0.00 -1.33 -20.10 -0.63 -17.53 -13.84 -41.78 0.78 -50.92
716339 0.00 0.00 0.00 0.00 -0.17 -16.60 -0.63 -17.30 0.01 14.59 -0.33 -29.33
732296 0.00 0.00 0.00 0.00 -1.32 -15.44 -0.86 -16.84 -13.41 27.08 -4.29 -4.96
749471 0.00 0.00 0.00 0.00 0.99 -15.44 -0.63 -16.60 14.85 14.96 -5.25 16.84
765021 0.00 0.00 0.00 0.00 0.99 -15.44 -0.17 -16.60 27.88 0.02 -8.37 10.87
781571 0.00 0.00 0.00 0.00 0.99 -15.44 0.29 -15.67 28.86 58.16 -8.67 10.28
797609 0.00 0.00 0.00 0.00 0.99 -14.28 0.53 -15.21 14.10 28.37 -5.86 13.12
813995 0.00 0.00 0.00 0.00 0.99 -14.28 0.99 -14.97 29.18 14.70 -0.06 14.59
829812 0.00 0.00 0.00 0.00 0.99 -14.28 0.99 -14.74 0.01 14.11 2.96 14.48
846264 0.00 0.00 0.00 0.00 0.99 -14.28 0.99 -14.51 0.01 14.37 8.77 14.46
862426 0.00 0.00 0.00 0.00 -1.32 -13.12 0.53 -14.04 -28.54 28.72 7.30 21.51
878574 0.00 0.00 0.00 0.00 -1.32 -13.12 0.07 -13.81 -27.80 13.96 4.51 21.45
895154 0.00 0.00 0.00 0.00 -1.32 -13.12 -0.40 -13.58 -26.21 13.16 3.23 20.05
912744 0.00 0.00 0.00 0.00 -1.32 -13.12 -0.86 -13.35 -31.38 15.76 -1.39 20.13
927436 0.00 0.00 0.00 0.00 -1.32 -11.96 -1.32 -12.89 -27.85 27.99 -6.96 22.93
943980 0.00 0.00 0.00 0.00 0.99 -11.96 -0.86 -12.65 26.21 13.18 -7.23 18.43
961578 0.00 0.00 0.00 0.00 -0.16 -11.96 -0.63 -12.42 14.96 15.03 -7.14 17.10
977006 0.00 0.00 0.00 0.00 -0.16 -10.80 -0.39 -11.96 14.31 28.70 -8.63 18.50
993144 0.00 0.00 0.00 0.00 0.99 -11.96 0.07 -11.73 28.38 14.27 -5.79 18.51
1009394 0.00 0.00 0.00 0.00 -1.32 -11.96 0.07 -11.73 0.00 0.00 -5.79 17.08
1025608 0.00 0.00 0.00 0.00 -0.16 -11.96 -0.16 -11.73 -13.16 -0.01 -4.26 14.21
1043114 0.00 0.00 0.00 0.00 -0.16 -11.96 -0.16 -11.73 0.00 0.00 -1.48 12.81
1059842 0.00 0.00 0.00 0.00 -1.32 -11.96 -0.39 -11.96 -16.20 -16.26 -0.47 9.87
1074081 0.00 0.00 0.00 0.00 0.99 -10.80 -0.39 -11.73 0.00 14.72 2.66 9.76
1089796 0.00 0.00 0.00 0.00 -0.16 -9.65 -0.16 -11.27 13.98 28.04 6.85 9.77
1106298 0.00 0.00 0.00 0.00 -0.16 -9.65 -0.16 -10.80 0.01 23.48 4.23 10.80
1125994 0.00 0.00 0.00 0.00 0.99 -10.80 0.07 -10.57 13.73 13.79 4.11 10.67
1142777 0.00 0.00 0.00 0.00 -0.16 -9.65 0.30 -10.11 12.89 25.85 3.97 10.39
1160677 0.00 0.00 0.00 0.00 0.99 -9.65 0.30 -9.88 0.00 15.00 1.13 10.46
1176088 0.00 0.00 0.00 0.00 0.99 -9.65 0.53 -9.88 15.68 0.01 2.70 10.46
1190772 0.00 0.00 0.00 0.00 0.99 -8.49 0.76 -9.65 15.43 15.47 5.56 12.01
1205698 0.00 0.00 0.00 0.00 0.99 -7.34 0.76 -8.95 0.01 44.53 5.56 16.46
1221253 0.00 0.00 0.00 0.00 0.99 -7.34 0.99 -8.49 13.05 26.16 8.48 20.70
1238901 0.00 0.00 0.00 0.00 0.99 -7.34 0.99 -8.03 0.01 28.85 8.48 22.12
1254897 0.00 0.00 0.00 0.00 0.99 -7.34 0.99 -7.57 0.01 23.28 7.08 21.64
1274724 0.00 0.00 0.00 0.00 0.99 -6.19 0.99 -7.11 0.01 27.58 7.08 22.05
1291446 0.00 0.00 0.00 0.00 0.99 -6.19 0.99 -6.88 0.00 14.34 5.71 22.11
1307519 0.00 0.00 0.00 0.00 0.99 -5.03 0.99 -6.42 0.01 30.44 4.42 22.57
1322659 0.00 0.00 0.00 0.00 2.14 -3.88 1.22 -5.73 13.98 41.98 5.82 25.26
1339123 0.00 0.00 0.00 0.00 3.29 -5.03 1.68 -5.26 31.66 31.71 7.42 28.44
1353655 0.00 0.00 0.00 0.00 3.29 -3.88 2.14 -4.80 28.32 28.35 8.71 29.72
1369901 0.00 0.00 0.00 0.00 3.29 -3.88 2.60 -4.34 30.49 30.53 11.75 28.32
1384989 0.00 0.00 0.00 0.00 5.59 -2.73 3.52 -3.88 52.99 26.51 15.75 28.36
1402352 0.00 0.00 0.00 0.00 4.44 -1.58 3.98 -3.42 23.31 23.32 18.08 27.80
1422084 0.00 0.00 0.00 0.00 4.44 -0.43 4.21 -2.50 12.73 50.98 19.35 30.57
1440137 0.00 0.00 0.00 0.00 4.44 0.72 4.44 -1.58 14.35 57.43 20.78 33.56
1456158 0.00 0.00 0.00 0.00 4.44 0.72 4.67 -0.66 14.78 59.16 22.26 38.04
1471710 0.00 0.00 0.00 0.00 6.74 0.72 4.90 0.03 13.96 41.90 23.66 39.19
1488178 0.00 0.00 0.00 0.00 7.89 1.87 5.59 0.72 44.19 44.17 26.68 39.41
1503795 0.00 0.00 0.00 0.00 6.74 3.02 6.05 1.41 27.50 41.24 26.26 40.36
1520522 0.00 0.00 0.00 0.00 7.89 4.17 6.74 2.10 42.17 42.16 27.65 41.74
1536887 0.00 0.00 0.00 0.00 6.74 4.17 7.20 2.79 29.49 44.22 27.55 43.11
1552489 0.00 0.00 0.00 0.00 7.89 4.17 7.43 3.48 15.84 47.48 23.83 45.21
1567020 0.00 0.00 0.00 0.00 7.89 5.32 7.43 4.17 0.01 35.07 21.50 46.38
1586696 0.00 0.00 0.00 0.00 6.74 6.47 7.43 4.86 0.01 38.13 20.23 45.10
1604796 0.00 0.00 0.00 0.00 6.74 4.17 7.20 4.86 -12.64 -0.00 17.53 39.35
1623004 0.00 0.00 0.00 0.00 6.74 5.32 7.20 5.09 0.00 14.77 16.05 34.91
1638582 0.00 0.00 0.00 0.00 6.74 5.32 6.97 5.32 -14.06 14.06 13.25 32.13
1654941 0.00 0.00 0.00 0.00 6.74 4.17 6.74 5.09 -13.68 -13.67 7.46 26.34
1671769 0.00 0.00 0.00 0.00 6.74 4.17 6.74 4.63 -0.01 -27.93 4.71 19.43
1688245 0.00 0.00 0.00 0.00 6.74 5.32 6.74 4.86 0.00 14.38 0.50 16.65
1704236 0.00 0.00 0.00 0.00 6.74 5.32 6.74 4.86 0.00 0.00 -2.45 12.23
1719654 0.00 0.00 0.00 0.00 7.89 4.17 6.97 4.63 13.24 -13.23 -2.71 6.16
