#Task Selector: 6
#PID Parameters: kp: 0.08, kd: 0.05, ki: 0.06
#n_pos: 5
#n_vel: 10
t x_ref y_ref vx_ref vy_ref x_raw y_raw x y vx_raw vy_raw vx vy
2873754 0.00 0.00 0.00 0.00 3.29 -11.96 0.66 -2.39 41.24 -149.80 4.12 -14.98
2889720 0.00 0.00 0.00 0.00 2.14 -13.12 1.09 -5.02 21.82 -133.71 6.31 -28.35
2909340 0.00 0.00 0.00 0.00 3.29 -10.80 1.74 -7.18 39.22 -128.70 10.23 -41.22
2926127 0.00 0.00 0.00 0.00 3.29 -8.49 2.40 -8.87 40.92 -105.60 14.32 -51.78
2942211 0.00 0.00 0.00 0.00 3.29 -7.34 3.06 -10.34 40.05 -89.31 18.32 -60.71
2958645 0.00 0.00 0.00 0.00 2.14 -7.34 2.83 -9.42 -13.91 55.79 16.93 -55.13
2975209 0.00 0.00 0.00 0.00 3.29 -8.49 3.06 -8.49 13.18 52.95 18.25 -49.84
2992674 1.11 79.99 125.65 -1.74 2.14 -8.49 2.83 -8.03 -14.25 28.58 16.83 -46.98
3008838 3.14 79.94 125.57 -4.93 2.14 -7.34 2.60 -7.80 -14.28 14.31 15.40 -45.55
3024961 5.37 79.82 125.38 -8.44 3.29 -8.49 2.60 -8.03 0.00 -12.95 15.40 -46.84
3042777 7.21 79.67 125.15 -11.33 2.14 -6.19 2.60 -7.80 -0.00 15.67 11.27 -30.30
3057492 9.05 79.49 124.86 -14.21 2.14 -7.34 2.37 -7.57 -15.71 15.74 7.52 -15.35
3072149 11.02 79.24 124.46 -17.32 4.44 -7.34 2.83 -7.34 29.03 14.54 6.50 -1.03
3088002 13.15 78.91 123.95 -20.66 4.44 -7.34 3.29 -7.34 26.84 -0.01 5.09 9.53
3105154 15.14 78.55 123.39 -23.79 3.29 -5.03 3.29 -6.65 -0.01 43.00 1.09 22.76
3121237 17.38 78.09 122.66 -27.30 4.44 -6.19 3.75 -6.65 25.34 -0.01 5.01 17.18
3139400 19.52 77.58 121.87 -30.66 2.14 -6.19 3.75 -6.42 -0.00 13.15 3.70 13.20
3156925 21.66 77.01 120.97 -34.02 4.44 -6.19 3.75 -6.19 -0.01 13.10 5.12 11.66
3174519 23.43 76.49 120.16 -36.80 4.44 -5.03 3.75 -5.73 -0.01 31.41 6.55 13.37
3189194 25.19 75.93 119.27 -39.57 4.44 -5.03 3.98 -5.73 15.62 -0.00 8.11 14.66
