#Task Selector: 6
#PID Parameters: kp: 0.15, kd: 0.06, ki: 0.04
#n_pos: 5
#n_vel: 10
t x_ref y_ref vx_ref vy_ref x_raw y_raw x y vx_raw vy_raw vx vy
0 80.00 -0.00 94.25 0.00 10.44 -4.80 2.09 -0.96 0.00 0.00 0.00 0.00
0 79.97 -2.07 93.70 2.43 9.29 -4.80 3.95 -1.92 112.78 -58.29 11.28 -5.83
16478 79.89 -4.18 93.08 4.87 10.44 -5.96 6.04 -3.11 124.43 -71.00 23.72 -12.93
33266 79.76 -6.18 92.42 7.16 10.44 -3.65 8.12 -3.84 130.98 -45.75 36.82 -17.50
49212 79.58 -8.21 91.70 9.47 10.44 -3.65 10.21 -4.57 128.39 -44.84 49.66 -21.99
65479 79.35 -10.17 90.95 11.66 9.29 -4.80 9.98 -4.57 -14.70 0.01 48.19 -21.99
81145 79.08 -12.09 90.17 13.78 12.75 -3.65 10.67 -4.34 44.87 14.97 52.67 -20.49
96543 78.73 -14.20 89.24 16.09 15.05 -4.81 11.60 -4.11 54.14 13.51 58.09 -19.14
113571 78.33 -16.25 88.28 18.31 16.21 -3.66 12.75 -4.11 69.34 -0.10 65.02 -19.15
130193 77.93 -18.07 87.37 20.26 19.67 -4.82 14.59 -4.35 124.43 -15.83 77.46 -20.73
145032 77.42 -20.15 86.28 22.45 21.99 -3.67 17.13 -4.12 148.97 13.25 92.36 -19.41
162076 76.91 -22.01 85.25 24.40 24.31 -3.68 19.45 -4.13 150.30 -0.43 96.11 -13.62
177461 76.31 -24.01 84.09 26.45 27.80 -3.70 22.00 -3.91 153.87 13.40 99.06 -5.18
194030 75.70 -25.89 82.94 28.37 26.64 -3.69 24.08 -3.91 132.32 -0.48 99.19 -0.65
209794 74.99 -27.85 81.68 30.34 31.31 -3.72 26.41 -3.69 140.18 13.28 100.37 5.16
226396 74.28 -29.71 80.44 32.18 34.84 -3.74 28.98 -3.71 162.16 -0.89 118.06 5.07
242250 73.46 -31.67 79.07 34.09 38.40 -4.94 31.80 -3.96 167.26 -14.91 130.30 2.08
259106 72.66 -33.47 77.76 35.82 41.99 -4.97 34.64 -4.21 180.83 -16.24 142.97 -0.89
274795 71.76 -35.37 76.32 37.62 48.02 -5.04 38.91 -4.48 255.80 -16.10 161.61 -2.49
291519 70.82 -37.20 74.87 39.33 48.01 -3.86 42.25 -4.51 203.96 -1.74 169.56 -1.08
307895 69.84 -39.02 73.38 40.99 54.15 -3.93 46.12 -4.55 235.09 -2.31 178.18 -2.64
324322 68.84 -40.75 71.90 42.57 55.39 -3.95 49.51 -4.35 212.93 12.41 184.44 -1.36
340277 67.79 -42.47 70.38 44.10 62.97 -5.25 53.71 -4.41 261.83 -3.45 195.24 -3.04
356309 66.64 -44.26 68.74 45.66 65.54 -5.29 57.21 -4.46 206.87 -2.99 202.69 -3.29
373246 65.52 -45.91 67.18 47.07 68.12 -4.13 61.24 -4.51 253.92 -3.43 214.07 -4.97
389083 64.27 -47.64 65.46 48.53 72.06 -4.20 64.82 -4.56 210.55 -3.13 218.90 -5.19
406098 63.05 -49.24 63.82 49.85 78.85 -6.77 69.51 -5.13 292.59 -35.18 231.44 -7.22
422134 61.58 -51.07 61.89 51.33 80.29 -9.26 72.97 -5.93 185.75 -43.02 231.93 -9.89
440782 60.24 -52.64 60.15 52.56 83.07 -9.34 76.48 -6.74 213.46 -49.26 227.69 -13.21
457206 58.93 -54.11 58.48 53.70 85.89 -9.42 80.03 -7.80 226.71 -67.42 229.97 -19.78
472886 57.26 -55.87 56.39 55.02 84.52 -10.62 82.53 -9.08 128.89 -66.43 219.35 -26.19
492215 55.78 -57.34 54.57 56.10 84.56 -11.86 83.67 -10.10 68.94 -61.46 204.95 -33.58
508788 54.46 -58.60 52.97 56.99 85.98 -11.91 84.81 -10.63 78.53 -36.58 186.62 -36.89
523269 52.76 -60.13 50.94 58.06 85.98 -11.91 85.39 -11.14 31.88 -28.19 169.12 -39.41
