#Task Selector: 5
#PID Parameters: kp: 0.05, kd: 0.04, ki: 0.02
#n_pos: 5
#n_vel: 10
t x_ref y_ref vx_ref vy_ref x_raw y_raw x y vx_raw vy_raw vx vy
0 0.00 0.00 0.00 0.00 2.14 6.47 0.43 1.29 0.00 0.00 0.00 0.00
0 0.00 0.00 0.00 0.00 2.14 6.47 0.86 2.59 23.20 70.11 2.32 7.01
18443 0.00 0.00 0.00 0.00 2.14 6.47 1.28 3.88 22.83 69.00 4.60 13.91
37184 0.00 0.00 0.00 0.00 3.29 6.47 1.94 5.17 34.93 68.66 8.10 20.78
56017 0.00 0.00 0.00 0.00 3.29 7.62 2.60 6.70 41.30 95.63 12.23 30.34
71946 0.00 0.00 0.00 0.00 2.14 7.62 2.60 6.93 0.00 15.33 12.23 31.87
86953 0.00 0.00 0.00 0.00 2.14 6.47 2.60 6.93 0.00 0.00 12.23 31.87
102690 0.00 0.00 0.00 0.00 2.14 6.47 2.60 6.93 0.00 0.00 12.23 31.87
116562 0.00 0.00 0.00 0.00 2.14 6.47 2.37 6.93 -13.92 -0.00 10.84 31.87
133077 0.00 0.00 0.00 0.00 2.14 6.47 2.14 6.70 -14.85 -14.85 9.35 30.39
148569 0.00 0.00 0.00 0.00 2.14 6.47 2.14 6.47 -0.00 -14.81 9.35 28.91
164101 0.00 0.00 0.00 0.00 2.14 7.62 2.14 6.70 0.00 13.20 7.03 23.22
181537 0.00 0.00 0.00 0.00 2.14 6.47 2.14 6.70 0.00 0.00 4.75 16.32
198297 0.00 0.00 0.00 0.00 2.14 5.32 2.14 6.47 -0.00 -14.68 1.25 7.98
213969 0.00 0.00 0.00 0.00 2.14 5.32 2.14 6.24 -0.00 -14.22 -2.88 -3.00
230145 0.00 0.00 0.00 0.00 2.14 5.32 2.14 6.01 -0.00 -14.53 -2.88 -5.99
245976 0.00 0.00 0.00 0.00 2.14 5.32 2.14 5.55 -0.00 -26.65 -2.88 -8.65
263244 0.00 0.00 0.00 0.00 2.14 5.32 2.14 5.32 -0.00 -12.81 -2.88 -9.94
281195 0.00 0.00 0.00 0.00 0.99 4.17 1.91 5.09 -15.20 -15.20 -3.00 -11.46
296320 0.00 0.00 0.00 0.00 2.14 5.32 1.91 5.09 0.00 0.00 -1.52 -9.97
312805 0.00 0.00 0.00 0.00 2.14 4.17 1.91 4.86 -0.00 -14.83 -1.52 -9.97
328310 0.00 0.00 0.00 0.00 2.14 3.02 1.91 4.40 -0.00 -29.36 -1.52 -14.23
343975 0.00 0.00 0.00 0.00 2.14 5.32 1.91 4.40 0.00 0.00 -1.52 -14.23
361666 0.00 0.00 0.00 0.00 2.14 4.17 2.14 4.40 13.32 -0.00 -0.19 -12.76
378927 0.00 0.00 0.00 0.00 2.14 5.32 2.14 4.40 0.00 0.00 -0.19 -11.34
396724 0.00 0.00 0.00 0.00 2.14 5.32 2.14 4.63 0.00 14.32 -0.19 -8.45
412778 0.00 0.00 0.00 0.00 2.14 4.17 2.14 4.86 0.00 15.31 -0.19 -4.26
427793 0.00 0.00 0.00 0.00 0.99 4.17 1.91 4.63 -14.17 -14.17 -1.61 -4.39
444018 0.00 0.00 0.00 0.00 2.14 5.32 1.91 4.86 0.00 13.03 -0.09 -1.57
461667 0.00 0.00 0.00 0.00 2.14 6.47 1.91 5.09 0.00 13.27 -0.09 -0.24
479006 0.00 0.00 0.00 0.00 2.14 5.32 1.91 5.09 0.00 0.00 -0.09 1.24
