#Task Selector: 6
#PID Parameters: kp: 0.10, kd: 0.04, ki: 0.00
#n_pos: 5
#n_vel: 10
t x_ref y_ref vx_ref vy_ref x_raw y_raw x y vx_raw vy_raw vx vy
111391 80.00 0.00 0.00 0.00 4.67 -16.44 0.93 -3.29 57.90 -203.96 5.79 -20.40
127515 80.00 0.00 0.00 0.00 -2.26 -11.79 0.48 -5.65 -24.51 -127.60 3.34 -33.16
145990 80.00 0.00 0.00 0.00 -8.07 -11.82 -1.13 -8.01 -93.67 -137.17 -6.03 -46.87
163228 80.00 0.00 0.00 0.00 -6.95 -17.68 -2.52 -11.55 -83.79 -213.04 -14.41 -68.18
179827 80.00 0.00 0.00 0.00 -9.27 -15.35 -4.38 -14.62 -97.71 -161.79 -24.18 -84.36
198800 80.00 0.00 0.00 0.00 -9.27 -15.35 -7.17 -14.40 -180.76 14.20 -42.25 -82.94
214221 80.00 0.00 0.00 0.00 -9.27 -15.35 -8.57 -15.11 -97.65 -49.64 -52.02 -87.90
228568 80.00 0.00 0.00 0.00 -8.10 -15.34 -8.57 -15.81 -0.36 -44.84 -52.05 -92.38
244245 80.00 0.00 0.00 0.00 -5.73 -9.47 -8.33 -14.17 14.05 94.33 -50.65 -82.95
261644 80.00 0.00 0.00 0.00 -3.41 -9.46 -7.16 -12.99 72.56 72.91 -43.39 -75.66
277788 80.00 0.00 0.00 0.00 -4.57 -8.31 -6.22 -11.59 60.16 90.08 -43.17 -46.26
293425 80.00 0.00 0.00 0.00 -4.56 -7.14 -5.27 -9.95 60.01 104.56 -34.72 -23.04
309118 80.00 0.00 0.00 0.00 -3.40 -5.98 -4.33 -8.07 58.25 115.90 -19.52 2.27
325267 80.00 0.00 0.00 0.00 -4.56 -5.98 -4.10 -7.38 14.16 42.02 -9.73 27.77
341882 80.00 0.00 0.00 0.00 -2.24 -5.98 -3.86 -6.68 14.66 43.67 1.51 48.32
357855 80.00 0.00 0.00 0.00 -2.25 -7.13 -3.40 -6.44 27.59 13.92 22.34 48.29
374680 80.00 0.00 0.00 0.00 -3.40 -5.98 -3.17 -6.21 15.00 15.02 33.61 54.76
390182 80.00 0.00 0.00 0.00 -4.55 -4.83 -3.40 -5.98 -13.85 13.86 32.26 60.63
406834 80.00 0.00 0.00 0.00 -2.23 -2.50 -2.93 -5.28 27.94 41.82 33.65 55.37
423475 80.00 0.00 0.00 0.00 -2.23 -2.50 -2.93 -4.59 0.12 43.10 26.40 52.39
439582 80.00 0.00 0.00 0.00 -3.39 -4.82 -3.16 -4.13 -14.03 28.26 18.99 46.21
455955 80.00 0.00 0.00 0.00 -3.39 -3.66 -3.16 -3.66 0.10 29.47 12.99 38.70
471668 80.00 0.00 0.00 0.00 -3.39 -3.66 -2.93 -3.43 14.10 14.10 8.58 28.52
488143 80.00 0.00 0.00 0.00 -2.24 -4.82 -2.93 -3.89 -0.08 -28.44 7.15 21.48
504407 80.00 0.00 0.00 0.00 -4.54 -2.51 -3.39 -3.90 -21.87 -0.06 3.50 17.11
525555 80.00 0.00 0.00 0.00 -3.39 -2.51 -3.39 -3.43 0.07 24.18 0.75 18.13
544686 80.00 0.00 0.00 0.00 -3.39 -3.66 -3.39 -3.43 0.00 0.00 -0.75 16.63
562213 80.00 0.00 0.00 0.00 -3.40 -5.98 -3.39 -3.90 -0.11 -31.49 0.62 12.09
576919 80.00 0.00 0.00 0.00 -3.39 -2.51 -3.62 -3.43 -16.25 32.65 -3.79 11.18
591067 80.00 0.00 0.00 0.00 -9.19 -3.69 -4.55 -3.67 -59.75 -15.12 -9.78 5.36
606613 80.00 0.00 0.00 0.00 -5.71 -3.67 -5.01 -3.90 -30.19 -15.16 -11.40 1.01
621973 80.00 0.00 0.00 0.00 -5.71 -4.83 -5.48 -4.14 -31.87 -16.02 -14.59 -3.53
636530 80.00 0.00 0.00 0.00 -6.87 -4.83 -6.17 -3.91 -50.31 16.59 -21.03 -3.29
650331 80.00 0.00 0.00 0.00 -2.24 -5.98 -5.94 -4.60 13.61 -41.19 -19.67 -4.56
667169 80.00 0.00 0.00 0.00 -4.55 -4.83 -5.02 -4.83 49.11 -12.06 -12.57 -5.76
686051 80.00 0.00 0.00 0.00 -8.04 -6.00 -5.48 -5.29 -30.54 -30.50 -15.63 -11.23
701320 80.00 0.00 0.00 0.00 -2.23 -3.66 -4.79 -5.06 42.55 14.31 -11.37 -9.80
717656 80.00 0.00 0.00 0.00 2.38 -3.65 -2.94 -4.82 105.21 13.47 -0.84 -5.30
735241 80.00 0.00 0.00 0.00 1.23 -4.81 -2.24 -4.59 50.92 17.13 5.87 -6.85
748860 80.00 0.00 0.00 0.00 1.23 -2.50 -1.09 -4.12 75.25 30.29 19.37 -2.31
764227 80.00 0.00 0.00 0.00 1.23 -2.50 0.77 -3.42 122.99 46.48 34.69 3.85
779297 80.00 0.00 0.00 0.00 8.14 -3.65 2.84 -3.42 127.11 0.17 50.59 5.47
795620 80.00 0.00 0.00 0.00 6.99 -2.49 3.76 -3.19 55.33 13.91 61.15 5.20
812274 80.00 0.00 0.00 0.00 11.59 -3.65 5.84 -2.96 123.54 13.83 72.15 10.70
829059 80.00 0.00 0.00 0.00 16.21 -3.66 8.83 -3.19 197.35 -15.26 86.97 10.38
844235 80.00 0.00 0.00 0.00 18.51 -3.66 12.29 -3.42 214.19 -14.42 111.44 11.99
860374 80.00 0.00 0.00 0.00 23.15 -3.68 15.29 -3.43 178.65 -0.37 125.05 10.52
877174 80.00 0.00 0.00 0.00 28.97 -3.71 19.69 -3.67 273.69 -15.11 141.90 7.67
893236 80.00 0.00 0.00 0.00 32.48 -2.56 23.86 -3.45 255.65 13.26 162.37 7.28
909574 80.00 0.00 0.00 0.00 37.19 -1.43 28.06 -3.01 252.71 26.79 180.12 6.93
926182 80.00 0.00 0.00 0.00 37.20 -2.60 31.80 -2.79 244.20 13.93 192.24 3.67
941484 80.00 0.00 0.00 0.00 41.96 -1.46 35.56 -2.35 228.13 26.86 202.34 6.34
957973 80.00 0.00 0.00 0.00 45.57 -2.66 38.88 -2.14 198.19 12.44 216.63 6.20
974729 80.00 0.00 0.00 0.00 47.99 -1.51 41.98 -1.93 190.11 12.91 223.29 6.10
991045 80.00 0.00 0.00 0.00 50.42 -0.36 44.63 -1.72 157.43 12.79 219.30 8.91
1007849 80.00 0.00 0.00 0.00 52.87 -0.38 47.76 -1.27 200.08 28.32 217.88 13.18
1023519 80.00 0.00 0.00 0.00 56.60 -0.41 50.69 -1.06 182.41 13.12 218.26 14.53
1039573 80.00 0.00 0.00 0.00 59.09 0.75 53.39 -0.38 160.01 40.44 206.89 20.09
1056470 80.00 0.00 0.00 0.00 64.19 -0.48 56.63 -0.17 199.87 12.66 201.31 20.03
1072679 80.00 0.00 0.00 0.00 65.45 1.89 59.64 0.27 190.04 28.43 195.05 20.19
1088497 80.00 0.00 0.00 0.00 70.66 1.85 63.20 0.72 220.41 27.60 192.67 21.56
1104632 80.00 0.00 0.00 0.00 71.98 1.84 66.27 1.17 181.18 26.48 187.97 21.52
1121609 80.00 0.00 0.00 0.00 73.30 1.83 69.11 1.38 168.38 12.72 184.99 21.55
1138490 80.00 0.00 0.00 0.00 77.35 0.57 71.75 1.60 158.77 12.78 181.86 21.54
1155072 80.00 0.00 0.00 0.00 78.71 0.56 74.40 1.33 165.21 -16.61 182.64 18.60
1171128 80.00 0.00 0.00 0.00 84.23 1.72 77.11 1.30 153.12 -1.44 177.94 15.62
1188858 80.00 0.00 0.00 0.00 84.25 0.49 79.57 1.04 162.57 -17.82 175.96 12.52
1203953 80.00 0.00 0.00 0.00 84.34 -4.43 81.78 -0.22 139.38 -79.05 173.89 0.58
1219787 80.00 0.00 0.00 0.00 87.06 1.69 83.72 0.01 111.45 12.83 165.05 0.59
1237207 80.00 0.00 0.00 0.00 91.40 0.40 86.25 -0.02 168.61 -2.10 162.91 -2.46
1252254 80.00 0.00 0.00 0.00 88.49 1.68 87.11 -0.03 49.68 -0.53 145.83 -5.27
1269387 80.00 0.00 0.00 0.00 91.50 -4.58 88.56 -1.05 92.68 -64.88 136.98 -14.41
1285040 80.00 0.00 0.00 0.00 88.45 5.39 89.38 0.91 50.44 120.35 125.19 -3.65
1301354 80.00 0.00 0.00 0.00 91.50 -4.58 90.27 -0.34 54.00 -76.29 114.71 -12.55
1317810 80.00 0.00 0.00 0.00 91.34 5.37 90.26 0.65 -0.63 59.49 98.13 -4.94
1334524 80.00 0.00 0.00 0.00 91.35 4.13 90.83 1.14 36.18 30.98 86.43 -1.70
1350363 80.00 0.00 0.00 0.00 94.41 -3.40 91.41 1.38 32.81 13.39 73.46 1.42
1368112 80.00 0.00 0.00 0.00 92.86 0.38 92.29 0.38 42.71 -48.51 63.79 4.47
1388744 80.00 0.00 0.00 0.00 95.94 -4.69 93.18 0.36 61.38 -1.40 58.78 3.05
1403195 80.00 0.00 0.00 0.00 91.42 -0.84 93.19 -0.88 1.05 -88.17 42.03 -5.56
1417295 80.00 0.00 0.00 0.00 95.94 -4.69 94.11 -2.65 47.33 -91.05 41.79 -14.61
1436662 80.00 0.00 0.00 0.00 95.97 -5.95 94.42 -3.16 19.14 -31.28 34.44 -11.25
1452961 80.00 0.00 0.00 0.00 96.01 -7.21 95.05 -4.67 37.03 -89.11 33.10 -32.20
1469992 80.00 0.00 0.00 0.00 97.44 -4.72 95.36 -4.68 17.13 -0.40 29.41 -24.61
1487549 80.00 0.00 0.00 0.00 93.00 -5.87 95.67 -5.69 18.58 -58.95 31.33 -36.45
1504604 80.00 0.00 0.00 0.00 97.44 -4.72 95.97 -5.69 18.18 -0.43 29.53 -39.59
