#Task Selector: 6
#PID Parameters: kp: 0.15, kd: 0.06, ki: 0.04
#n_pos: 5
#n_vel: 10
t x_ref y_ref vx_ref vy_ref x_raw y_raw x y vx_raw vy_raw vx vy
0 80.00 -0.00 94.25 0.00 73.33 -0.59 14.67 -0.12 0.00 0.00 0.00 0.00
0 79.97 -2.01 93.72 2.36 74.69 -1.82 29.60 -0.48 932.89 -22.72 93.29 -2.27
16012 79.90 -4.04 93.12 4.71 73.35 -1.80 44.27 -0.84 906.96 -22.25 183.98 -4.50
32187 79.73 -6.58 92.29 7.61 68.04 1.87 57.88 -0.47 673.51 18.53 251.34 -2.64
52391 79.54 -8.59 91.57 9.88 68.04 1.87 71.49 -0.09 846.93 23.30 336.03 -0.31
68458 79.32 -10.41 90.86 11.93 69.37 -0.54 70.70 -0.08 -54.18 0.65 330.61 -0.25
83085 79.00 -12.60 89.95 14.35 72.02 -1.78 70.16 -0.08 -30.30 0.43 327.58 -0.21
100683 78.67 -14.55 89.08 16.47 72.04 -2.99 69.90 -0.31 -16.64 -15.12 325.92 -1.72
116420 78.28 -16.50 88.16 18.58 68.14 -5.34 69.92 -1.76 1.28 -91.11 326.05 -10.83
132247 77.84 -18.47 87.17 20.69 73.44 -6.65 71.00 -3.46 67.17 -105.89 332.76 -21.42
148344 77.41 -20.20 86.26 22.50 69.56 -10.20 71.04 -5.39 2.71 -136.75 333.03 -35.09
162472 76.94 -21.92 85.30 24.31 70.79 -6.60 70.80 -6.36 -17.28 -67.51 238.02 -39.57
176735 76.35 -23.88 84.17 26.32 65.62 -8.90 69.51 -7.54 -79.11 -72.83 139.41 -44.63
192970 75.76 -25.68 83.07 28.16 69.53 -8.99 69.79 -8.27 18.40 -48.35 73.90 -51.32
208078 75.10 -27.58 81.86 30.06 65.57 -6.49 68.21 -8.24 -98.59 1.96 -20.65 -53.45
224057 74.33 -29.57 80.53 32.04 65.57 -6.49 67.41 -7.50 -46.96 43.61 -19.93 -49.16
241067 73.59 -31.38 79.28 33.80 65.57 -6.49 66.37 -7.47 -67.32 1.31 -23.63 -49.07
740678 29.75 -74.26 26.20 65.40 62.97 -5.25 65.84 -6.74 -31.60 43.64 -25.13 -43.19
757415 27.60 -75.09 24.11 65.59 62.95 -4.05 64.53 -5.76 -71.75 53.87 -32.43 -28.69
775741 25.65 -75.78 22.23 65.70 62.95 -4.05 64.00 -5.27 -31.65 29.57 -42.32 -15.15
